     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3943500 3036500  1 10  7   4.7 1008 188  5.9 7  4.7  87    0    0 288 -316  2
3943500 3036500  1 10  8   4.3 1007 187  6.5 5  4.6  88    0    0 270 -316  2
3943500 3036500  1 10  9   4.3 1007 189  7.3 5  4.5  87    0    2 257 -316  2
3943500 3036500  1 10 10   4.9 1007 196  7.8 6  4.5  85    7   39 265 -316  2
3943500 3036500  1 10 11   5.8 1007 198  7.6 4  4.6  82   42   88 261 -316  2
3943500 3036500  1 10 12   6.1 1007 204  8.0 5  4.6  80   37  116 258 -318  2
3943500 3036500  1 10 13   6.4 1007 206  8.6 7  4.7  79   15  108 277 -321  2
3943500 3036500  1 10 14   6.3 1006 198  6.9 6  4.8  79   11   94 283 -323  2
3943500 3036500  1 10 15   6.3 1006 195  6.4 6  4.8  80    2   56 279 -324  2
3943500 3036500  1 10 16   6.7 1005 186  6.8 7  4.8  79    0   18 287 -323  2
3943500 3036500  1 10 17   6.6 1005 185  6.1 8  4.8  78    0    0 301 -321  2
3943500 3036500  1 10 18   6.7 1004 189  6.9 7  4.8  79    0    0 307 -322  2
3943500 3036500  1 10 19   7.1 1004 189  6.6 8  4.9  78    0    0 313 -327  2
3943500 3036500  1 10 20   7.4 1003 190  7.2 8  4.9  76    0    0 325 -333  2
3943500 3036500  1 10 21   7.7 1002 190  7.1 8  5.1  78    0    0 331 -337  2
3943500 3036500  1 10 22   8.0 1002 199  7.5 8  5.4  81    0    0 335 -341  2
3943500 3036500  1 10 23   8.2 1001 201  7.2 8  5.7  84    0    0 336 -344  2
3943500 3036500  1 10 24   8.7 1001 209  7.3 8  5.9  85    0    0 338 -346  2
3943500 3036500  1 11  1   8.0 1001 202  6.8 8  6.1  88    0    0 338 -347  2
3943500 3036500  1 11  2   7.9 1001 201  6.3 8  6.2  92    0    0 336 -348  2
3943500 3036500  1 11  3   8.0 1001 201  5.8 8  6.3  94    0    0 336 -349  2
3943500 3036500  1 11  4   8.1 1001 201  5.4 8  6.4  94    0    0 336 -350  2
3943500 3036500  1 11  5   8.4 1001 200  5.3 8  6.5  94    0    0 335 -350  2
3943500 3036500  1 11  6   8.4 1001 201  5.6 8  6.5  93    0    0 335 -350  2
3943500 3036500  1 11  7   8.4 1001 204  5.3 8  6.5  93    0    0 335 -350  2
3943500 3036500  1 11  8   8.2 1001 201  4.5 8  6.5  94    0    0 334 -350  2
3943500 3036500  1 11  9   8.2 1001 211  4.6 8  6.5  95    0    0 333 -349  2
3943500 3036500  1 11 10   8.2 1001 203  3.7 7  6.5  95    0   10 327 -349  2
3943500 3036500  1 11 11   8.1 1001 200  3.2 6  6.5  95    0   42 315 -349  2
3943500 3036500  1 11 12   8.4 1001 198  3.4 6  6.5  94    8   73 309 -350  2
3943500 3036500  1 11 13   8.3 1001 190  4.0 7  6.5  93    0   59 314 -352  2
3943500 3036500  1 11 14   8.1 1001 182  3.3 8  6.4  94    0   22 325 -354  2
3943500 3036500  1 11 15   8.2 1001 163  2.8 6  6.4  93    5   50 320 -355  2
3943500 3036500  1 11 16   8.5 1000 160  2.6 8  6.3  92    0   19 321 -355  2
3943500 3036500  1 11 17   8.7  999 150  2.4 8  6.2  88    0    0 333 -355  2
3943500 3036500  1 11 18   8.7  999 152  2.9 8  6.1  86    0    0 333 -354  2
3943500 3036500  1 11 19   8.7  998 161  3.6 8  6.1  86    0    0 334 -353  2
3943500 3036500  1 11 20   9.0  998 162  3.3 8  6.1  85    0    0 334 -352  2
3943500 3036500  1 11 21   9.4  998 164  3.1 8  6.1  83    0    0 335 -352  2
3943500 3036500  1 11 22   9.5  997 159  3.0 8  6.1  82    0    0 335 -351  2
3943500 3036500  1 11 23   9.2  997 153  2.2 8  6.2  83    0    0 333 -351  2
3943500 3036500  1 11 24   9.1  997 145  1.8 7  6.1  84    0    0 324 -350  2
3943500 3036500  1 12  1   9.3  996 148  2.3 8  6.0  81    0    0 322 -350  2
3943500 3036500  1 12  2   9.1  996 142  1.9 8  5.8  79    0    0 328 -349  2
3943500 3036500  1 12  3   9.7  995 149  2.4 8  5.6  76    0    0 329 -348  2
3943500 3036500  1 12  4   9.4  995 164  3.4 7  5.5  72    0    0 323 -348  2
3943500 3036500  1 12  5   9.2  994 165  3.0 6  5.4  73    0    0 311 -349  2
3943500 3036500  1 12  6   8.8  994 167  3.2 7  5.4  74    0    0 309 -348  2
3943500 3036500  1 12  7   8.2  994 188  3.5 6  5.4  77    0    0 306 -345  2
3943500 3036500  1 12  8   7.8  995 175  3.4 6  5.5  80    0    0 296 -343  2
3943500 3036500  1 12  9   7.8  995 178  4.1 6  5.5  82    0    2 296 -341  2
